nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;5;5;1956;4;2;3;2;10100
5;2;2;1490;4;3;5;3;11001
5;2;2;1418;4;3;5;3;11001
5;2;2;1692;4;3;5;3;11001
5;0;0;823;5;4;3;3;11100
5;2;2;1184;4;3;5;3;11001
5;0;0;1809;4;3;2;2;11000
5;0;0;1596;4;3;2;2;11000
5;0;0;2139;5;4;3;3;11100
5;3;3;1813;5;3;4;3;11010
5;1;1;1789;4;3;4;3;11010
5;0;0;1397;4;3;2;2;11000
5;0;0;2030;5;4;3;3;11100
5;0;0;2472;6;5;4;4;11110
5;0;0;2290;5;4;3;3;11100
5;1;1;2334;4;3;4;3;11010
5;0;0;1382;4;3;2;2;11000
5;1;1;1750;4;3;4;3;11010
5;2;2;896;4;3;5;3;11001
5;0;0;1538;5;4;3;3;11100
5;0;0;1824;4;3;2;2;11000
5;1;1;1450;4;3;4;3;11010
5;0;0;2276;5;4;3;3;11100
5;2;2;1085;4;3;5;3;11001
5;4;4;1921;4;2;3;2;10100
5;20;20;1499;5;1;5;2;01001
5;0;0;1743;5;4;3;3;11100
5;0;0;1921;5;4;3;3;11100
5;0;0;1796;4;3;2;2;11000
5;0;0;1448;5;4;3;3;11100
5;0;0;1869;5;4;3;3;11100
5;0;0;1922;5;4;3;3;11100
5;0;0;1647;5;4;3;3;11100
5;1;1;1670;4;3;4;3;11010
5;1;1;2142;4;3;4;3;11010
5;0;0;1715;4;3;2;2;11000
5;0;0;1157;5;4;3;3;11100
5;0;0;1707;4;3;2;2;11000
5;0;0;1505;4;3;2;2;11000
5;0;0;2115;5;4;3;3;11100
5;1;1;1299;4;3;5;4;11011
5;0;0;1147;4;3;2;2;11000
5;0;0;1240;5;4;3;3;11100
5;0;0;1849;5;4;3;3;11100
5;1;1;1839;4;3;5;4;11011
5;0;0;2034;5;4;3;3;11100
5;0;0;2280;5;4;3;3;11100
5;1;1;763;4;3;4;3;11010
5;3;3;1031;5;3;4;3;11010
5;0;0;1941;5;4;3;3;11100
5;0;0;1641;5;4;3;3;11100
5;0;0;802;5;4;3;3;11100
5;5;5;1677;4;2;4;3;10110
5;0;0;2067;5;4;3;3;11100
5;3;3;1571;5;3;4;3;11010
5;1;1;1026;3;2;4;3;10110
5;0;0;1997;5;4;3;3;11100
5;3;3;2167;5;3;4;3;11010
5;0;0;752;4;3;2;2;11000
5;0;0;1474;4;3;2;2;11000
5;2;2;1562;4;3;5;3;11001
5;0;0;878;5;4;3;3;11100
5;6;6;1935;5;2;4;3;10110
5;0;0;2377;5;4;3;3;11100
5;1;1;1569;4;3;4;3;11010
5;4;4;1512;4;2;3;2;10100
5;0;0;2333;6;5;4;4;11110
5;0;0;1547;5;4;3;3;11100
5;0;0;2342;6;5;4;4;11110
5;2;2;1830;4;3;5;3;11001
5;3;3;1879;5;3;4;3;11010
5;1;1;2076;4;3;4;3;11010
5;0;0;1604;4;3;2;2;11000
5;1;1;2224;4;3;4;3;11010
5;0;0;1819;5;4;3;3;11100
5;0;0;1473;5;4;3;3;11100
5;3;3;1521;5;3;4;3;11010
5;2;2;1523;4;3;5;3;11001
5;2;2;2062;4;3;5;3;11001
5;3;3;1967;5;3;4;3;11010
5;0;0;992;5;4;3;3;11100
5;6;6;1513;4;2;5;3;10101
5;0;0;955;5;4;3;3;11100
5;0;0;2265;5;4;3;3;11100
5;0;0;1248;5;4;3;3;11100
5;0;0;1972;5;4;3;3;11100
5;0;0;1883;5;4;3;3;11100
5;0;0;2384;5;4;3;3;11100
5;5;5;1292;4;2;3;2;10100
5;0;0;2453;5;4;3;3;11100
5;0;0;1832;4;3;2;2;11000
5;5;5;1768;4;2;4;3;10110
5;3;3;1895;5;3;4;3;11010
5;0;0;2349;5;4;3;3;11100
5;1;1;955;3;2;4;3;10110
5;5;5;610;4;2;4;3;10110
5;4;4;820;5;3;5;3;11001
5;2;2;1481;4;3;5;3;11001
5;9;9;1750;5;2;4;2;10010
5;0;0;2443;5;4;3;3;11100
5;6;6;903;4;2;3;2;10100
5;4;4;1572;4;2;3;2;10100
5;1;1;1381;4;3;4;3;11010
5;0;0;2516;6;5;4;4;11110
5;1;1;772;4;3;4;3;11010
5;0;0;2391;5;4;3;3;11100
5;1;1;1951;4;3;4;3;11010
5;0;0;2530;5;4;3;3;11100
5;0;0;2028;5;4;3;3;11100
5;0;0;1580;5;4;3;3;11100
5;0;0;1708;5;4;3;3;11100
5;2;2;1635;4;3;5;3;11001
5;0;0;1809;4;3;2;2;11000
5;0;0;708;5;4;3;3;11100
5;0;0;1266;4;3;2;2;11000
5;5;5;1784;4;2;3;2;10100
5;3;3;2257;5;3;4;3;11010
5;0;0;1720;5;4;3;3;11100
5;3;3;2059;5;3;4;3;11010
5;1;1;1756;4;3;4;3;11010
5;1;1;1883;4;3;4;3;11010
5;0;0;2233;5;4;3;3;11100
5;0;0;1194;5;4;3;3;11100
5;0;0;1307;4;3;2;2;11000
5;5;5;1122;4;2;4;3;10110
5;0;0;483;4;3;2;2;11000
5;0;0;2217;5;4;3;3;11100
5;0;0;1711;5;4;3;3;11100
