mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
3;3;2;40;8;85;489890;0.117;1980
0;1;2;70;2;59;577277084;3.316;3622
0;1;2;70;0;87;1411818377;9.064;6164
0;3;2;50;1;125;1535076207;10.290;6896
3;3;2;50;7;279;4752531;8.472;13466
3;1;2;90;3;130;10070809;21.869;15652
3;1;2;110;4;190;19934409;61.370;24509
3;3;2;60;4;175;4334446;5.132;10463
3;1;2;110;3;158;20868540;78.387;29242
3;3;2;60;5;228;6191873;13.912;15282
0;3;2;60;6;196;5460065974;58.216;11370
3;1;3;50;4;551;4704612;4.782;17669
3;1;3;50;6;841;10646308;31.252;36598
0;1;2;90;5;167;12112030192;222.766;16298
0;1;3;50;8;524;4917024186;52.241;13576
3;1;2;110;6;217;29179173;294.053;34803
3;1;3;70;2;1070;37568080;258.268;81362
0;3;3;40;0;2561;54402459771;1724.564;55858
3;3;3;50;1;4092;36205947;320.904;117521
3;3;3;50;7;8298;58034416;525.250;166228
3;1;3;90;0;4194;203826816;7050.524;326206
0;1;2;110;7;279;183081509177;5472.240;51105
0;1;3;70;3;2059;364447387646;14254.915;98939
0;1;2;110;6;217;87884351251;1982.978;34803
0;1;3;70;5;1655;323105698123;12325.603;117309
3;1;3;110;0;4749;486882608;36528.855;556751
3;1;3;110;9;4593;448130549;33945.984;548414
0;3;3;50;8;4860;305364744191;12050.793;128709
0;3;3;60;2;9220;2250850306050;103555.144;304388
0;1;3;90;9;2938;2442352739939;118310.857;256098
0;1;3;90;8;2272;2074718920028;100621.528;232191
3;3;2;10;7;10;1971;0.001;56
3;3;2;10;6;7;563;0.000;17
3;3;2;10;5;18;2363;0.001;75
0;1;2;30;0;18;4354962;0.033;509
0;3;2;10;9;4;10160;0.000;32
0;1;2;30;7;21;3161043;0.023;384
0;1;2;30;6;33;8163210;0.063;720
0;3;2;20;6;31;1271274;0.011;301
3;3;2;20;5;39;28683;0.007;308
3;1;2;50;4;54;566551;0.207;1872
0;3;2;30;4;47;17406388;0.064;959
0;1;2;50;8;36;70996253;0.347;1643
0;3;2;30;7;87;83591857;0.440;2299
3;3;2;40;1;70;742534;0.293;3072
3;3;2;40;6;79;677982;0.262;2907
0;3;2;40;5;106;216235797;1.115;3302
3;3;2;40;7;172;2263324;1.908;8095
3;3;2;50;0;165;2476097;2.016;7507
0;1;2;70;8;140;1927720878;12.477;6397
0;3;2;50;2;153;1630248316;11.331;8090
