chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
250;10;0.25;5;3;57534;58092;178;1.308417
250;10;0.25;5;4;57447;58092;64;1.279911
250;10;0.25;5;5;57408;58092;153;1.330426
250;10;0.25;5;6;57524;58092;294;1.499313
250;10;0.25;5;7;57561;58092;59;1.576489
250;10;0.25;5;8;57548;58092;163;1.582874
250;10;0.25;5;9;57468;58092;260;1.312613
250;10;0.25;6;0;57980;58824;297;1.628285
250;10;0.25;6;1;58054;58824;110;1.065602
250;10;0.25;6;2;58103;58824;66;1.067775
250;10;0.25;6;3;58043;58824;198;1.355919
250;10;0.25;6;4;58019;58824;204;1.309741
250;10;0.25;6;5;58266;58824;267;1.446739
250;10;0.25;6;6;58007;58824;40;1.385151
250;10;0.25;6;7;58080;58824;263;1.209053
250;10;0.25;6;8;57932;58824;180;1.406304
250;10;0.25;6;9;58070;58824;127;1.529631
250;10;0.25;7;0;57941;58704;17;1.609976
250;10;0.25;7;1;57978;58704;15;1.606353
250;10;0.25;7;2;57963;58704;52;1.492764
250;10;0.25;7;3;57894;58704;206;1.339246
250;10;0.25;7;4;57873;58704;187;1.409813
250;10;0.25;7;5;58151;58704;157;1.391019
250;10;0.25;7;6;57908;58704;100;1.613474
250;10;0.25;7;7;58037;58704;210;1.597363
250;10;0.25;7;8;58088;58704;290;1.610689
250;10;0.25;7;9;58000;58704;157;1.606778
250;10;0.25;8;0;58168;58936;146;1.240275
250;10;0.25;8;1;58352;58936;39;1.108320
250;10;0.25;8;2;58163;58936;142;0.929394
250;10;0.25;8;3;58196;58936;244;0.927534
250;10;0.25;8;4;58186;58936;159;1.167510
250;10;0.25;8;5;58273;58936;251;1.237010
250;10;0.25;8;6;58359;58936;299;1.115490
250;10;0.25;8;7;58147;58936;218;0.920776
250;10;0.25;8;8;58301;58936;52;0.918060
250;10;0.25;8;9;58095;58936;221;0.926595
250;10;0.25;9;0;58682;59387;235;1.345365
250;10;0.25;9;1;58684;59387;248;1.349029
250;10;0.25;9;2;58886;59387;259;1.317703
250;10;0.25;9;3;58902;59387;151;1.325312
250;10;0.25;9;4;58785;59387;2;1.354443
250;10;0.25;9;5;58791;59387;224;1.199286
250;10;0.25;9;6;58929;59387;229;1.113078
250;10;0.25;9;7;58752;59387;234;1.135664
250;10;0.25;9;8;58703;59387;157;1.344104
