chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;10;0.25;1;4;22954;23064;27;0.195498
100;10;0.25;1;5;22954;23064;9;0.184094
100;10;0.25;1;6;22954;23064;37;0.205740
100;10;0.25;1;7;22954;23064;17;0.191862
100;10;0.25;1;8;22954;23064;27;0.192101
100;10;0.25;1;9;22954;23064;5;0.157936
100;10;0.25;2;0;22750;22801;0;0.172358
100;10;0.25;2;1;22750;22801;7;0.170443
100;10;0.25;2;2;22750;22801;10;0.192946
100;10;0.25;2;3;22750;22801;14;0.192701
100;10;0.25;2;4;22750;22801;6;0.177835
100;10;0.25;2;5;22750;22801;1;0.173333
100;10;0.25;2;6;22750;22801;18;0.197209
100;10;0.25;2;7;22750;22801;11;0.180172
100;10;0.25;2;8;22750;22801;7;0.181215
100;10;0.25;2;9;22750;22801;4;0.179900
100;10;0.25;3;0;22081;22131;85;0.318603
100;10;0.25;3;1;22081;22131;10;0.270386
100;10;0.25;3;2;22081;22131;1;0.279485
100;10;0.25;3;3;22081;22131;28;0.288398
100;10;0.25;3;4;22081;22131;38;0.261879
100;10;0.25;3;5;22081;22131;0;0.232443
100;10;0.25;3;6;22081;22131;17;0.245976
100;10;0.25;3;7;22081;22131;6;0.279147
100;10;0.25;3;8;22081;22131;25;0.252526
100;10;0.25;3;9;22081;22131;23;0.258429
100;10;0.25;4;0;22694;22772;6;0.203200
100;10;0.25;4;1;22694;22772;8;0.205981
100;10;0.25;4;2;22694;22772;5;0.200047
100;10;0.25;4;3;22694;22772;20;0.208155
100;10;0.25;4;4;22694;22772;12;0.198282
100;10;0.25;4;5;22694;22772;4;0.187167
100;10;0.25;4;6;22694;22772;16;0.196657
100;10;0.25;4;7;22694;22772;12;0.188602
100;10;0.25;4;8;22694;22772;4;0.180416
100;10;0.25;4;9;22694;22772;0;0.175429
100;10;0.25;5;0;22528;22751;11;0.170864
100;10;0.25;5;1;22528;22751;21;0.178849
100;10;0.25;5;2;22528;22751;5;0.159580
100;10;0.25;5;3;22528;22751;2;0.149557
100;10;0.25;5;4;22528;22751;13;0.160149
100;10;0.25;5;5;22528;22751;11;0.165817
100;10;0.25;5;6;22528;22751;0;0.152145
100;10;0.25;5;7;22528;22751;4;0.162644
100;10;0.25;5;8;22528;22751;7;0.153637
100;10;0.25;5;9;22528;22751;7;0.152968
100;10;0.25;6;0;22613;22777;6;0.194712
100;10;0.25;6;1;22613;22777;2;0.184589
100;10;0.25;6;2;22613;22777;2;0.204766
100;10;0.25;6;3;22613;22777;3;0.236488
100;10;0.25;6;4;22613;22777;4;0.243541
100;10;0.25;6;5;22613;22777;3;0.234887
100;10;0.25;6;6;22613;22777;8;0.241627
100;10;0.25;6;7;22613;22777;15;0.254022
100;10;0.25;6;8;22613;22777;8;0.243758
100;10;0.25;6;9;22613;22777;27;0.272255
100;10;0.25;7;0;21671;21875;118;0.374932
100;10;0.25;7;1;21671;21875;2;0.272257
100;10;0.25;7;2;21671;21875;4;0.266280
100;10;0.25;7;3;21671;21875;0;0.266745
100;10;0.25;7;4;21671;21875;137;0.321448
100;10;0.25;7;5;21671;21875;32;0.299950
100;10;0.25;7;6;21671;21875;21;0.340665
100;10;0.25;7;7;21671;21875;23;0.259902
100;10;0.25;7;8;21671;21875;27;0.285456
100;10;0.25;7;9;21671;21875;40;0.319031
100;10;0.25;8;0;22542;22635;38;0.250996
100;10;0.25;8;1;22542;22635;10;0.206595
100;10;0.25;8;2;22542;22635;7;0.215395
100;10;0.25;8;3;22542;22635;18;0.239365
100;10;0.25;8;4;22542;22635;42;0.250917
100;10;0.25;8;5;22542;22635;16;0.216730
100;10;0.25;8;6;22542;22635;9;0.230490
100;10;0.25;8;7;22542;22635;1;0.203743
100;10;0.25;8;8;22542;22635;9;0.206672
100;10;0.25;8;9;22542;22635;14;0.236420
100;10;0.25;9;0;22418;22511;71;0.294502
100;10;0.25;9;1;22418;22511;7;0.210742
100;10;0.25;9;2;22418;22511;6;0.282493
100;10;0.25;9;3;22418;22511;3;0.232001
100;10;0.25;9;4;22418;22511;8;0.238938
100;10;0.25;9;5;22418;22511;4;0.222560
100;10;0.25;9;6;22418;22511;11;0.240807
100;10;0.25;9;7;22418;22511;23;0.246230
100;10;0.25;9;8;22418;22511;6;0.247993
100;10;0.25;9;9;22418;22511;6;0.228973
100;10;0.25;10;0;22702;22702;0;0.175228
100;10;0.25;10;1;22702;22702;10;0.187144
100;10;0.25;10;2;22702;22702;10;0.172848
100;10;0.25;10;3;22702;22702;3;0.169746
100;10;0.25;10;4;22702;22702;21;0.176385
100;10;0.25;10;5;22702;22702;6;0.170722
100;10;0.25;10;6;22702;22702;9;0.174032
100;10;0.25;10;7;22702;22702;13;0.181019
100;10;0.25;10;8;22702;22702;1;0.161321
100;10;0.25;10;9;22702;22702;11;0.173689
100;10;0.50;1;0;41331;41395;8;0.179990
100;10;0.50;1;1;41331;41395;76;0.233415
100;10;0.50;1;2;41147;41395;0;0.185410
100;10;0.50;1;3;41331;41395;0;0.189042
100;10;0.50;1;4;41331;41395;0;0.185185
100;10;0.50;1;5;41331;41395;18;0.184519
100;10;0.50;1;6;41331;41395;0;0.197661
100;10;0.50;1;7;41331;41395;20;0.212866
100;10;0.50;1;8;41331;41395;1;0.180531
100;10;0.50;1;9;41331;41395;5;0.186960
100;10;0.50;2;0;42157;42344;3;0.193268
100;10;0.50;2;1;42157;42344;0;0.199697
100;10;0.50;2;2;42157;42344;1;0.197051
100;10;0.50;2;3;42157;42344;6;0.197082
100;10;0.50;2;4;42157;42344;2;0.194410
100;10;0.50;2;5;42157;42344;7;0.214683
100;10;0.50;2;6;42157;42344;4;0.201061
100;10;0.50;2;7;42157;42344;0;0.200242
100;10;0.50;2;8;42157;42344;2;0.186658
100;10;0.50;2;9;42157;42344;10;0.204755
100;10;0.50;3;0;42306;42401;2;0.196549
100;10;0.50;3;1;42306;42401;5;0.219661
100;10;0.50;3;2;42306;42401;0;0.215597
100;10;0.50;3;3;42306;42401;8;0.231457
100;10;0.50;3;4;42306;42401;47;0.283924
100;10;0.50;3;5;42306;42401;5;0.213767
100;10;0.50;3;6;42306;42401;9;0.276144
100;10;0.50;3;7;42306;42401;28;0.269129
100;10;0.50;3;8;42306;42401;91;0.380664
100;10;0.50;3;9;42306;42401;12;0.251507
100;10;0.50;4;0;45408;45624;17;0.194472
100;10;0.50;4;1;45408;45624;3;0.200512
100;10;0.50;4;2;45408;45624;83;0.201398
100;10;0.50;4;3;45408;45624;4;0.188865
100;10;0.50;4;4;45408;45624;1;0.187079
100;10;0.50;4;5;45408;45624;15;0.202782
100;10;0.50;4;6;45408;45624;11;0.194078
100;10;0.50;4;7;45408;45624;7;0.179178
100;10;0.50;4;8;45408;45624;10;0.189181
100;10;0.50;4;9;45408;45624;11;0.187214
100;10;0.50;5;0;41737;41884;17;0.180090
100;10;0.50;5;1;41737;41884;3;0.151969
100;10;0.50;5;2;41737;41884;10;0.170354
100;10;0.50;5;3;41737;41884;14;0.162296
100;10;0.50;5;4;41737;41884;8;0.153717
100;10;0.50;5;5;41737;41884;14;0.193193
100;10;0.50;5;6;41737;41884;13;0.170238
100;10;0.50;5;7;41737;41884;6;0.156161
100;10;0.50;5;8;41737;41884;16;0.161841
100;10;0.50;5;9;41737;41884;8;0.151869
100;10;0.50;6;0;42995;42995;28;0.217879
100;10;0.50;6;1;42995;42995;51;0.265952
100;10;0.50;6;2;42995;42995;31;0.280624
100;10;0.50;6;3;42995;42995;0;0.217701
100;10;0.50;6;4;42995;42995;26;0.229554
100;10;0.50;6;5;42995;42995;11;0.242243
100;10;0.50;6;6;42995;42995;4;0.211478
100;10;0.50;6;7;42995;42995;18;0.222329
100;10;0.50;6;8;42995;42995;4;0.209324
100;10;0.50;6;9;42995;42995;69;0.254700
100;10;0.50;7;0;43435;43574;14;0.184820
100;10;0.50;7;1;43435;43574;20;0.268076
100;10;0.50;7;2;43435;43574;9;0.182947
100;10;0.50;7;3;43435;43574;7;0.183418
100;10;0.50;7;4;43435;43574;3;0.192554
100;10;0.50;7;5;43403;43574;0;0.166647
100;10;0.50;7;6;43435;43574;8;0.182719
