classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;
B;2;200;6;407850;6;3023458;5.609;2954;7.055e+09;407852;12.023;6;7.053e+09;263739448;407853;37.822;6;7.053e+09;180433338;
B;2;200;9;407866;12;8654366;16.866;6871;7.710e+09;407868;13.025;8;7.704e+09;286999995;407870;37.829;8;7.704e+09;103174641;
B;2;300;2;407882;16;31354315;130.146;17790;1.653e+10;407887;15.363;8;1.649e+10;284794417;407889;41.234;8;1.649e+10;99612736;
B;2;300;4;407901;17;17139200;53.083;8364;1.804e+10;407904;14.134;5;1.802e+10;276747668;407907;40.015;5;1.802e+10;101487941;
B;2;300;7;407918;35;60359969;333.039;29218;1.701e+10;407932;18.860;18;1.699e+10;324458584;407934;41.960;18;1.699e+10;105080713;
B;2;400;3;407947;19;68643729;425.936;29646;3.100e+10;407966;15.454;7;3.098e+10;276915970;407968;44.845;7;3.098e+10;120924602;
B;2;400;4;407980;17;53434506;303.657;19188;3.167e+10;407993;15.937;6;3.163e+10;294495120;407995;42.915;6;3.163e+10;130819882;
B;2;400;6;408007;28;110976315;703.194;36778;3.055e+10;408034;15.582;4;3.050e+10;284820948;408036;42.887;4;3.050e+10;180318353;
B;2;400;8;408048;34;125048076;1072.468;51981;3.132e+10;408100;15.345;4;3.125e+10;284341251;408101;42.726;4;3.125e+10;151455264;
B;2;500;4;408113;31;155740252;1390.895;53384;4.968e+10;408180;17.678;6;4.951e+10;303291327;408181;45.378;6;4.951e+10;108522724;
C;2;100;4;408615;406;48408670;927.741;64508;1.534e+09;408651;10.316;149;1.433e+09;251762326;408654;13.799;149;1.433e+09;47671080;
C;2;100;2;408580;522;53630569;1990.698;73626;1.646e+09;408701;10.073;192;1.529e+09;246553720;408702;14.430;192;1.529e+09;55548897;
C;2;20;0;408714;30;23186;0.007;243;5.565e+07;408716;8.645;30;5.565e+07;249699710;408717;8.249;30;5.565e+07;71178094;
C;2;20;1;408728;32;19684;0.005;215;6.293e+07;408730;8.452;32;6.293e+07;243969680;408731;7.481;32;6.293e+07;68468374;
C;2;20;2;408742;35;20681;0.006;238;6.574e+07;408744;8.324;35;6.574e+07;240930133;408746;7.333;35;6.574e+07;72788232;
C;2;20;3;408757;86;44065;0.014;474;6.321e+07;408759;8.612;85;6.265e+07;247111133;408761;6.557;85;6.265e+07;45231110;
C;2;20;4;408772;22;23959;0.006;292;6.083e+07;408774;8.621;22;6.083e+07;236216393;408775;8.981;22;6.083e+07;107795429;
C;2;20;5;408786;27;17695;0.005;168;6.375e+07;408788;8.546;28;6.375e+07;244560457;408789;7.750;28;6.375e+07;62202107;
C;2;20;6;408800;48;28165;0.008;319;5.455e+07;408802;11.800;48;5.455e+07;249200332;408803;6.781;48;5.455e+07;50793960;
C;2;20;7;408816;84;47834;0.016;464;5.171e+07;408818;9.558;84;5.171e+07;244541180;408819;6.206;84;5.171e+07;46900471;
C;2;20;8;408830;59;29012;0.009;292;6.166e+07;408832;8.676;59;6.166e+07;244859680;408833;5.883;59;6.166e+07;49577626;
C;2;20;9;408844;41;24919;0.007;238;6.456e+07;408846;9.106;41;6.456e+07;235012940;408847;8.014;41;6.456e+07;73761485;
C;2;40;0;408858;91;616399;0.472;2483;2.381e+08;408860;8.978;76;2.333e+08;250505716;408863;10.365;76;2.333e+08;46609032;
C;2;40;1;408875;57;671241;0.513;2740;2.547e+08;408877;8.821;30;2.470e+08;249222876;408878;10.725;30;2.470e+08;66268859;
C;2;40;2;408889;96;592818;0.433;2577;2.576e+08;408891;9.007;74;2.512e+08;246361117;408892;10.901;74;2.512e+08;52485125;
C;2;40;3;408903;168;957638;0.945;3584;2.570e+08;408906;9.099;110;2.482e+08;248401881;408907;10.246;110;2.482e+08;43791805;
C;2;40;4;408918;91;793791;0.542;3203;2.357e+08;408920;8.488;55;2.261e+08;235429357;408922;10.682;55;2.261e+08;70231501;
